
# ;[];[];[seb europafond småbolag][seb eur småbolag][seb europa småbolag][seb europa småbolagsfond][seb europeiska småbolagsfo][seb europeiska småbolagsfond];[];[];[];[];[];[];[];[];[];[];[];[seb östeuropafond små och medelstora bolag c][seb östeuropafond små och medelstora bolag ex ryssland c];[];[];
# ;seb dynamic bond fund c;seb dynamisk aktiefond;seb europafond småbolag;seb europe equity fund;seb global aktiefond;seb global high yield fund c;seb green bond fund c;seb läkemedelsfond;seb nordamerikafond små och medelstora bolag a;seb nordenfond;seb pension fund c;seb realräntefond d;seb sverige expanderad;seb sweden equity fund c;seb östeuropafond små och medelstora bolag c;seligson & co euroobligation a;seligson & co global top 25 brands a;
2023-03-22;-0,065;-0,114;-0,058;;-0,119;-0,064;-0,038;-0,032;-0,049;-0,110;-0,090;0,004;-0,094;-0,093;-0,224;-0,016;-0,035;
2023-03-23;-0,064;-0,117;-0,054;;-0,122;-0,064;-0,037;-0,035;-0,057;-0,112;-0,091;0,005;-0,095;-0,094;-0,221;-0,010;-0,039;
2023-03-24;-0,064;-0,120;-0,056;;-0,126;-0,067;-0,037;-0,032;-0,061;-0,116;-0,089;0,007;-0,101;-0,100;-0,227;-0,004;-0,034;
2023-03-27;-0,065;-0,116;-0,054;;-0,121;;;-0,027;-0,054;-0,111;;0,003;-0,095;-0,094;;-0,009;-0,030;
2023-03-28;;;;;;-0,067;-0,039;;;;-0,090;;;;-0,226;;;
2023-03-29;-0,065;-0,111;-0,054;;-0,116;-0,065;-0,039;-0,026;-0,048;-0,106;-0,086;0,003;-0,091;-0,091;-0,219;-0,009;-0,031;
2023-03-30;-0,065;-0,108;-0,046;;-0,113;-0,063;-0,039;-0,025;-0,046;-0,099;-0,084;0,002;-0,084;-0,083;-0,209;-0,006;-0,023;
2023-03-31;-0,065;-0,106;-0,039;;-0,111;-0,060;-0,038;-0,022;-0,046;-0,095;-0,081;0,002;-0,077;-0,076;-0,210;-0,009;-0,021;
2023-04-03;-0,064;-0,102;-0,041;;-0,106;;;-0,020;-0,041;-0,096;;0,002;-0,078;-0,078;;-0,008;-0,016;
2023-04-04;;;;;;-0,058;-0,036;;;;-0,082;;;;-0,205;;;
